date	opening_price	high_price	low_price	trade_price	volume	marketCapitalization
Feb 19, 2021	₩2,146,721.21	₩2,179,367.92	₩2,100,415.53	₩2,168,020.61	₩29,085,041,816,708	₩249,022,480,782,086
Feb 18, 2021	₩2,044,298.86	₩2,158,706.43	₩2,044,298.86	₩2,145,159.36	₩31,253,822,005,153	₩245,860,753,755,118
Feb 17, 2021	₩1,972,777.13	₩2,050,703.13	₩1,921,491.06	₩2,044,577.58	₩39,819,244,993,476	₩234,829,473,201,590
Feb 16, 2021	₩1,960,985.11	₩2,004,346.84	₩1,914,207.10	₩1,972,464.14	₩37,776,153,825,309	₩225,192,913,306,647
Feb 15, 2021	₩1,993,035.71	₩2,021,963.25	₩1,858,516.70	₩1,961,916.99	₩43,021,511,847,174	₩225,422,012,827,966
Feb 14, 2021	₩2,003,738.35	₩2,041,045.90	₩1,976,727.55	₩1,993,485.48	₩34,720,415,321,727	₩228,598,086,994,659
Feb 13, 2021	₩2,036,443.66	₩2,066,942.81	₩1,955,410.87	₩2,003,448.50	₩39,049,960,561,708	₩229,713,689,307,872
Feb 12, 2021	₩1,967,564.70	₩2,055,626.73	₩1,925,540.93	₩2,035,942.08	₩41,817,250,024,045	₩233,167,378,201,239
Feb 11, 2021	₩1,930,203.25	₩1,992,442.60	₩1,891,920.28	₩1,967,905.35	₩39,873,970,009,394	₩226,349,758,482,161
Feb 10, 2021	₩1,964,292.16	₩2,020,160.44	₩1,866,291.64	₩1,930,789.10	₩46,568,770,009,934	₩222,114,389,548,301
Feb 09, 2021	₩1,951,981.08	₩2,023,537.91	₩1,909,886.12	₩1,964,286.90	₩49,366,680,456,206	₩226,410,210,246,427
Feb 08, 2021	₩1,803,942.82	₩1,980,174.70	₩1,757,910.28	₩1,951,635.49	₩53,674,485,362,945	₩223,751,549,454,540
Feb 07, 2021	₩1,875,143.73	₩1,889,038.47	₩1,678,581.37	₩1,804,597.43	₩44,586,421,728,812	₩206,733,735,857,317
Feb 06, 2021	₩1,920,068.21	₩1,943,000.96	₩1,843,246.57	₩1,875,413.31	₩44,568,515,929,144	₩214,855,748,431,953
Feb 05, 2021	₩1,786,436.99	₩1,965,219.17	₩1,786,436.99	₩1,921,022.01	₩44,928,415,593,839	₩220,531,044,962,723
Feb 04, 2021	₩1,849,947.55	₩1,883,926.46	₩1,748,322.60	₩1,786,402.67	₩49,442,184,650,928	₩203,417,901,827,074
Feb 03, 2021	₩1,687,756.93	₩1,849,657.26	₩1,681,496.21	₩1,849,657.26	₩46,656,659,009,003	₩211,936,307,626,818
Feb 02, 2021	₩1,530,274.20	₩1,721,176.29	₩1,519,762.60	₩1,688,229.52	₩50,771,105,275,663	₩193,873,475,808,063
Feb 01, 2021	₩1,470,599.52	₩1,535,162.05	₩1,426,605.73	₩1,529,755.03	₩32,670,666,653,065	₩175,317,963,795,047
Jan 31, 2021	₩1,539,881.88	₩1,542,222.15	₩1,441,098.80	₩1,470,745.98	₩28,183,172,886,079	₩168,372,991,406,776
Jan 30, 2021	₩1,545,929.67	₩1,568,485.97	₩1,485,866.78	₩1,539,089.94	₩34,242,495,121,021	₩176,179,006,241,727
Jan 29, 2021	₩1,524,119.39	₩1,591,719.31	₩1,444,492.54	₩1,546,254.99	₩59,682,864,883,370	₩176,156,952,724,326
Jan 28, 2021	₩1,387,030.31	₩1,509,889.74	₩1,365,921.18	₩1,483,380.98	₩38,395,003,868,550	₩169,038,235,140,492
Jan 27, 2021	₩1,497,059.69	₩1,507,851.68	₩1,347,109.08	₩1,389,144.52	₩43,417,762,335,940	₩158,046,942,257,058
Jan 26, 2021	₩1,459,701.13	₩1,515,450.90	₩1,382,182.56	₩1,495,654.27	₩45,842,808,567,866	₩171,216,571,965,521
Jan 25, 2021	₩1,537,496.14	₩1,621,739.31	₩1,438,981.83	₩1,460,443.39	₩48,166,470,953,006	₩167,516,937,525,393
Jan 24, 2021	₩1,361,152.56	₩1,542,439.76	₩1,354,589.47	₩1,538,568.06	₩40,261,736,535,051	₩175,984,894,362,360
Jan 23, 2021	₩1,365,638.07	₩1,406,413.90	₩1,327,635.60	₩1,360,909.39	₩30,130,271,566,247	₩155,654,448,842,789
Jan 22, 2021	₩1,230,775.71	₩1,405,614.83	₩1,153,777.60	₩1,367,013.71	₩48,310,083,554,085	₩155,550,383,217,314
Jan 21, 2021	₩1,517,357.88	₩1,517,357.88	₩1,208,303.96	₩1,233,725.74	₩50,406,286,821,412	₩140,741,196,408,513
Jan 20, 2021	₩1,515,920.99	₩1,546,698.79	₩1,367,827.92	₩1,516,907.59	₩51,569,513,430,638	₩174,208,069,350,965
Jan 19, 2021	₩1,388,346.05	₩1,578,796.78	₩1,382,030.24	₩1,518,177.78	₩52,109,504,002,603	₩173,846,635,248,665
Jan 18, 2021	₩1,358,475.26	₩1,390,569.63	₩1,311,755.00	₩1,388,174.87	₩28,506,865,017,598	₩158,687,588,868,767
Jan 17, 2021	₩1,362,064.14	₩1,397,487.15	₩1,296,830.34	₩1,358,319.56	₩32,308,734,576,291	₩155,261,730,638,688
Jan 16, 2021	₩1,293,577.71	₩1,424,566.02	₩1,278,317.68	₩1,362,157.13	₩35,688,844,135,918	₩155,666,891,034,500
Jan 15, 2021	₩1,339,066.99	₩1,372,165.18	₩1,203,717.26	₩1,294,010.09	₩39,422,105,800,807	₩146,744,573,767,478
Jan 14, 2021	₩1,241,095.64	₩1,365,150.52	₩1,203,579.77	₩1,335,314.40	₩36,688,196,180,485	₩152,867,795,666,096
Jan 13, 2021	₩1,141,612.41	₩1,245,628.44	₩1,088,921.52	₩1,241,653.75	₩32,933,183,880,441	₩141,288,532,888,156
Jan 12, 2021	₩1,194,603.61	₩1,262,985.75	₩1,114,022.24	₩1,141,277.30	₩41,148,450,626,603	₩130,802,646,698,715
Jan 11, 2021	₩1,378,965.99	₩1,378,965.99	₩1,014,785.86	₩1,196,380.04	₩66,382,439,746,203	₩136,089,101,862,581
Jan 10, 2021	₩1,400,004.86	₩1,473,296.73	₩1,305,836.10	₩1,379,647.70	₩44,394,719,461,087	₩157,554,866,657,077
Jan 09, 2021	₩1,337,560.55	₩1,425,144.95	₩1,292,233.39	₩1,400,230.29	₩36,324,116,490,626	₩159,886,368,660,750
Jan 08, 2021	₩1,341,306.96	₩1,392,268.44	₩1,178,307.85	₩1,338,059.72	₩48,505,847,158,956	₩152,918,889,761,535
Jan 07, 2021	₩1,314,328.81	₩1,404,960.00	₩1,270,775.47	₩1,340,989.93	₩44,027,190,279,031	₩152,227,937,532,660
Jan 06, 2021	₩1,197,286.75	₩1,315,797.79	₩1,157,212.87	₩1,313,277.75	₩48,608,876,402,910	₩149,835,468,523,906
Jan 05, 2021	₩1,131,792.73	₩1,226,448.93	₩1,072,264.85	₩1,196,200.52	₩45,136,936,537,169	₩136,429,934,930,757
Jan 04, 2021	₩1,062,294.08	₩1,247,555.00	₩987,371.57	₩1,130,417.21	₩61,913,758,577,615	₩129,065,320,399,185
Jan 03, 2021	₩840,910.77	₩1,094,374.29	₩837,707.63	₩1,060,607.62	₩49,075,499,092,603	₩120,852,590,676,932
Jan 02, 2021	₩793,020.09	₩854,250.69	₩779,673.05	₩840,935.85	₩21,433,147,492,367	₩95,943,367,941,327
Jan 01, 2021	₩800,893.10	₩813,370.10	₩781,500.05	₩792,981.98	₩14,821,298,531,692	₩90,454,772,613,751
Dec 31, 2020	₩818,235.80	₩820,581.04	₩791,044.92	₩800,996.26	₩15,161,044,029,460	₩91,614,787,334,947
Dec 30, 2020	₩799,225.52	₩821,525.36	₩787,080.74	₩818,227.45	₩18,896,484,145,706	₩93,662,635,992,876
Dec 29, 2020	₩800,546.15	₩808,250.73	₩755,761.68	₩799,277.17	₩20,508,779,854,923	₩91,437,029,094,081
Dec 28, 2020	₩751,826.52	₩818,706.90	₩751,826.52	₩800,588.55	₩26,655,463,082,809	₩91,647,446,800,905
Dec 27, 2020	₩699,533.10	₩782,596.94	₩691,225.00	₩751,206.47	₩28,705,256,522,605	₩85,617,880,581,446
